=== 최종 100% 달성을 위한 점검 리스트 (총 450건) ===
이 리스트가 0건이 될 때까지 로직을 수정해야 합니다.

[의미밀림 의심] ID: koa_10005024_001 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: ksa_11403003_001 | s_id: 2 | 비율: 16.38
[의미밀림 의심] ID: ksa_11404004_001 | s_id: 1 | 비율: 0.14
[의미밀림 의심] ID: ksa_11406010_001 | s_id: 1 | 비율: 48.26
[의미밀림 의심] ID: ksa_11412007_001 | s_id: 1 | 비율: 17.03
[의미밀림 의심] ID: ksa_11412016_001 | s_id: 1 | 비율: 25.04
[의미밀림 의심] ID: ksa_11501017_002 | s_id: 1 | 비율: 28.35
[의미밀림 의심] ID: ksa_11601022_002 | s_id: 1 | 비율: 16.36
[의미밀림 의심] ID: ksa_11610010_001 | s_id: 1 | 비율: 18.55
[의미밀림 의심] ID: ksa_11611006_001 | s_id: 2 | 비율: 19.12
[의미밀림 의심] ID: ksa_11712015_001 | s_id: 2 | 비율: 15.33
[의미밀림 의심] ID: ksa_11802013_002 | s_id: 1 | 비율: 18.18
[의미밀림 의심] ID: ksa_11802013_002 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: ksa_11808023_001 | s_id: 8 | 비율: 0.19
[의미밀림 의심] ID: ksa_11902022_001 | s_id: 2 | 비율: 17.17
[의미밀림 의심] ID: ksa_11907013_002 | s_id: 2 | 비율: 17.78
[의미밀림 의심] ID: ksa_11909025_002 | s_id: 1 | 비율: 0.17
[의미밀림 의심] ID: ksa_12101023_001 | s_id: 1 | 비율: 0.14
[의미밀림 의심] ID: ksa_12102005_002 | s_id: 2 | 비율: 19.75
[의미밀림 의심] ID: ksa_12103013_001 | s_id: 1 | 비율: 24.59
[의미밀림 의심] ID: ksa_12104018_003 | s_id: 1 | 비율: 27.29
[의미밀림 의심] ID: ksa_12104019_002 | s_id: 1 | 비율: 28.12
[의미밀림 의심] ID: ksa_12109020_003 | s_id: 1 | 비율: 16.35
[의미밀림 의심] ID: ksa_12201001_001 | s_id: 1 | 비율: 30.30
[의미밀림 의심] ID: ksa_12208012_001 | s_id: 1 | 비율: 0.11
[의미밀림 의심] ID: ksa_12301003_001 | s_id: 1 | 비율: 24.27
[의미밀림 의심] ID: ksa_12305003_001 | s_id: 1 | 비율: 67.80
[의미밀림 의심] ID: ksa_12401008_001 | s_id: 1 | 비율: 51.20
[의미밀림 의심] ID: ksa_12410021_002 | s_id: 1 | 비율: 16.11
[의미밀림 의심] ID: ksa_12410024_002 | s_id: 1 | 비율: 16.42
[의미밀림 의심] ID: ksa_12411021_002 | s_id: 1 | 비율: 26.56
[의미밀림 의심] ID: ksa_12412027_001 | s_id: 1 | 비율: 28.34
[의미밀림 의심] ID: ksa_12504016_001 | s_id: 1 | 비율: 18.62
[의미밀림 의심] ID: ksa_12511016_003 | s_id: 1 | 비율: 25.30
[의미밀림 의심] ID: ksa_12609010_001 | s_id: 1 | 비율: 17.90
[의미밀림 의심] ID: ksa_12710012_004 | s_id: 2 | 비율: 18.58
[의미밀림 의심] ID: ksa_12711028_001 | s_id: 1 | 비율: 25.43
[의미밀림 의심] ID: ksa_12810014_002 | s_id: 1 | 비율: 20.09
[의미밀림 의심] ID: ksa_12903014_002 | s_id: 3 | 비율: 16.83
[의미밀림 의심] ID: ksa_12909021_003 | s_id: 2 | 비율: 0.11
[의미밀림 의심] ID: ksa_12912003_001 | s_id: 1 | 비율: 18.43
[의미밀림 의심] ID: ksa_13007011_002 | s_id: 1 | 비율: 22.33
[의미밀림 의심] ID: ksa_13009007_001 | s_id: 1 | 비율: 59.46
[의미밀림 의심] ID: ksa_13009024_004 | s_id: 1 | 비율: 31.68
[의미밀림 의심] ID: ksa_13010016_005 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: ksa_13103003_001 | s_id: 1 | 비율: 20.89
[의미밀림 의심] ID: ksa_13103014_002 | s_id: 1 | 비율: 41.44
[의미밀림 의심] ID: ksa_13104107_002 | s_id: 1 | 비율: 24.56
[의미밀림 의심] ID: ksa_13111003_002 | s_id: 1 | 비율: 21.67
[의미밀림 의심] ID: ksa_13112010_001 | s_id: 1 | 비율: 17.25
[의미밀림 의심] ID: ksa_13201010_002 | s_id: 1 | 비율: 15.32
[의미밀림 의심] ID: ksa_13210010_004 | s_id: 2 | 비율: 19.00
[의미밀림 의심] ID: ksa_13501019_003 | s_id: 1 | 비율: 30.53
[의미밀림 의심] ID: ksa_13502001_002 | s_id: 2 | 비율: 17.38
[의미밀림 의심] ID: ksa_13602015_001 | s_id: 1 | 비율: 20.34
[의미밀림 의심] ID: ksa_13702021_001 | s_id: 2 | 비율: 18.10
[의미밀림 의심] ID: ksa_13703020_004 | s_id: 1 | 비율: 22.03
[의미밀림 의심] ID: ksa_13712025_002 | s_id: 1 | 비율: 16.42
[의미밀림 의심] ID: ksa_13802010_003 | s_id: 1 | 비율: 25.43
[의미밀림 의심] ID: ksa_13810018_004 | s_id: 1 | 비율: 30.07
[의미밀림 의심] ID: ksa_13901010_001 | s_id: 1 | 비율: 22.72
[의미밀림 의심] ID: ksa_13902005_002 | s_id: 1 | 비율: 40.16
[의미밀림 의심] ID: ksa_13903009_002 | s_id: 1 | 비율: 25.72
[의미밀림 의심] ID: ksa_13903009_003 | s_id: 1 | 비율: 17.83
[의미밀림 의심] ID: ksa_13903009_004 | s_id: 1 | 비율: 17.14
[의미밀림 의심] ID: ksa_13903009_005 | s_id: 1 | 비율: 17.78
[의미밀림 의심] ID: ksa_13903009_010 | s_id: 1 | 비율: 28.14
[의미밀림 의심] ID: ksa_13908006_001 | s_id: 2 | 비율: 19.42
[의미밀림 의심] ID: ksa_13910003_001 | s_id: 1 | 비율: 45.76
[의미밀림 의심] ID: ksa_14008004_001 | s_id: 1 | 비율: 19.32
[의미밀림 의심] ID: ksa_14009011_003 | s_id: 1 | 비율: 17.55
[의미밀림 의심] ID: ksa_14009013_002 | s_id: 1 | 비율: 15.55
[의미밀림 의심] ID: ksa_14009013_002 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: ksa_14108022_001 | s_id: 1 | 비율: 28.41
[의미밀림 의심] ID: ksa_14110015_002 | s_id: 1 | 비율: 30.54
[의미밀림 의심] ID: ksa_14111009_001 | s_id: 1 | 비율: 19.24
[의미밀림 의심] ID: ksa_14202002_003 | s_id: 1 | 비율: 22.45
[의미밀림 의심] ID: ksa_14202019_001 | s_id: 1 | 비율: 15.28
[의미밀림 의심] ID: ksa_14203016_003 | s_id: 1 | 비율: 21.64
[의미밀림 의심] ID: ksa_14207004_001 | s_id: 1 | 비율: 46.08
[의미밀림 의심] ID: ksa_14207011_003 | s_id: 1 | 비율: 45.13
[의미밀림 의심] ID: ksa_14207028_001 | s_id: 1 | 비율: 17.43
[의미밀림 의심] ID: ksa_14208008_002 | s_id: 1 | 비율: 17.87
[의미밀림 의심] ID: ksa_14212006_001 | s_id: 2 | 비율: 0.08
[의미밀림 의심] ID: ksa_14212015_001 | s_id: 1 | 비율: 16.83
[의미밀림 의심] ID: ksa_14212016_001 | s_id: 1 | 비율: 17.00
[의미밀림 의심] ID: ksa_14212017_001 | s_id: 1 | 비율: 17.17
[의미밀림 의심] ID: ksa_14301001_001 | s_id: 1 | 비율: 49.19
[의미밀림 의심] ID: ksa_14303002_002 | s_id: 1 | 비율: 38.66
[의미밀림 의심] ID: ksa_14310027_002 | s_id: 3 | 비율: 0.19
[의미밀림 의심] ID: ksa_14401002_002 | s_id: 2 | 비율: 17.30
[의미밀림 의심] ID: ksa_14404008_003 | s_id: 1 | 비율: 25.32
[의미밀림 의심] ID: ksa_14404010_003 | s_id: 1 | 비율: 25.96
[의미밀림 의심] ID: ksa_14404016_002 | s_id: 1 | 비율: 83.88
[의미밀림 의심] ID: ksa_14405019_002 | s_id: 1 | 비율: 19.56
[의미밀림 의심] ID: ksa_14405022_001 | s_id: 1 | 비율: 23.49
[의미밀림 의심] ID: ksa_14407013_001 | s_id: 1 | 비율: 27.29
[의미밀림 의심] ID: ksa_14409004_003 | s_id: 1 | 비율: 21.42
[의미밀림 의심] ID: ksa_14409017_002 | s_id: 1 | 비율: 22.17
[의미밀림 의심] ID: ksa_14501008_001 | s_id: 1 | 비율: 15.06
[의미밀림 의심] ID: ksa_14502012_001 | s_id: 1 | 비율: 22.05
[의미밀림 의심] ID: ksa_14506021_001 | s_id: 1 | 비율: 19.88
[의미밀림 의심] ID: ksa_14508016_006 | s_id: 1 | 비율: 46.87
[의미밀림 의심] ID: ksa_14603010_001 | s_id: 1 | 비율: 36.17
[의미밀림 의심] ID: ksa_14603012_001 | s_id: 1 | 비율: 21.39
[의미밀림 의심] ID: ksa_14606008_009 | s_id: 1 | 비율: 22.13
[의미밀림 의심] ID: kta_10008007_002 | s_id: 1 | 비율: 22.85
[의미밀림 의심] ID: kta_10009007_001 | s_id: 1 | 비율: 17.09
[의미밀림 의심] ID: kta_10009007_001 | s_id: 2 | 비율: 0.12
[의미밀림 의심] ID: kta_10011026_003 | s_id: 1 | 비율: 19.50
[의미밀림 의심] ID: kta_10103009_003 | s_id: 1 | 비율: 49.17
[의미밀림 의심] ID: kta_10204003_002 | s_id: 1 | 비율: 17.57
[의미밀림 의심] ID: kta_10204013_003 | s_id: 3 | 비율: 0.07
[의미밀림 의심] ID: kta_10206002_002 | s_id: 1 | 비율: 37.30
[의미밀림 의심] ID: kta_10206022_001 | s_id: 1 | 비율: 0.17
[의미밀림 의심] ID: kta_10206030_002 | s_id: 2 | 비율: 17.72
[의미밀림 의심] ID: kta_10207014_001 | s_id: 2 | 비율: 0.07
[의미밀림 의심] ID: kta_10209019_001 | s_id: 1 | 비율: 19.23
[의미밀림 의심] ID: kta_10211025_001 | s_id: 1 | 비율: 25.51
[의미밀림 의심] ID: kta_10211026_003 | s_id: 1 | 비율: 86.16
[의미밀림 의심] ID: kta_10301001_001 | s_id: 1 | 비율: 18.81
[의미밀림 의심] ID: kta_10302020_004 | s_id: 1 | 비율: 0.11
[의미밀림 의심] ID: kta_10303010_003 | s_id: 1 | 비율: 18.34
[의미밀림 의심] ID: kta_10304004_001 | s_id: 3 | 비율: 0.12
[의미밀림 의심] ID: kta_10304019_002 | s_id: 1 | 비율: 0.17
[의미밀림 의심] ID: kta_10306001_003 | s_id: 1 | 비율: 30.43
[의미밀림 의심] ID: kta_10309007_001 | s_id: 4 | 비율: 0.19
[의미밀림 의심] ID: kta_10309030_002 | s_id: 1 | 비율: 15.30
[의미밀림 의심] ID: kta_10402011_001 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: kua_10011001_001 | s_id: 1 | 비율: 29.46
[의미밀림 의심] ID: kua_10011009_004 | s_id: 1 | 비율: 51.22
[의미밀림 의심] ID: kua_10012006_007 | s_id: 1 | 비율: 24.83
[의미밀림 의심] ID: kua_10104009_003 | s_id: 1 | 비율: 15.24
[의미밀림 의심] ID: kua_10104009_003 | s_id: 2 | 비율: 0.07
[의미밀림 의심] ID: kua_10104010_002 | s_id: 1 | 비율: 95.60
[의미밀림 의심] ID: kua_10107019_001 | s_id: 1 | 비율: 63.93
[의미밀림 의심] ID: kua_10112028_003 | s_id: 1 | 비율: 77.95
[의미밀림 의심] ID: kua_10204024_002 | s_id: 1 | 비율: 19.80
[의미밀림 의심] ID: kua_10205013_002 | s_id: 1 | 비율: 23.40
[의미밀림 의심] ID: kua_10303020_001 | s_id: 1 | 비율: 17.41
[의미밀림 의심] ID: kua_10307004_004 | s_id: 1 | 비율: 385.83
[의미밀림 의심] ID: kua_10309012_003 | s_id: 1 | 비율: 16.06
[의미밀림 의심] ID: kua_10311003_002 | s_id: 1 | 비율: 34.92
[의미밀림 의심] ID: kua_10311007_001 | s_id: 1 | 비율: 23.95
[의미밀림 의심] ID: kua_10311010_001 | s_id: 1 | 비율: 15.09
[의미밀림 의심] ID: kua_10312016_001 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: kua_10312019_004 | s_id: 1 | 비율: 20.37
[의미밀림 의심] ID: kua_10401010_001 | s_id: 1 | 비율: 21.68
[의미밀림 의심] ID: kua_10401024_004 | s_id: 1 | 비율: 27.13
[의미밀림 의심] ID: kua_10403016_002 | s_id: 2 | 비율: 15.40
[의미밀림 의심] ID: kua_10403025_012 | s_id: 1 | 비율: 479.71
[의미밀림 의심] ID: kua_10403030_004 | s_id: 1 | 비율: 23.90
[의미밀림 의심] ID: kua_10408002_003 | s_id: 1 | 비율: 21.00
[의미밀림 의심] ID: kua_10501026_002 | s_id: 1 | 비율: 31.93
[의미밀림 의심] ID: kua_10503014_002 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: kua_10508025_001 | s_id: 1 | 비율: 40.88
[의미밀림 의심] ID: kua_10511009_002 | s_id: 1 | 비율: 17.18
[의미밀림 의심] ID: kua_10512007_004 | s_id: 1 | 비율: 36.79
[의미밀림 의심] ID: kua_10601011_001 | s_id: 2 | 비율: 0.16
[의미밀림 의심] ID: kua_10609010_001 | s_id: 4 | 비율: 19.75
[의미밀림 의심] ID: kua_10609010_001 | s_id: 6 | 비율: 17.55
[의미밀림 의심] ID: kua_10609010_002 | s_id: 2 | 비율: 0.05
[의미밀림 의심] ID: kua_10701022_001 | s_id: 1 | 비율: 37.32
[의미밀림 의심] ID: kua_10701025_001 | s_id: 1 | 비율: 45.08
[의미밀림 의심] ID: kua_10706016_002 | s_id: 2 | 비율: 0.14
[의미밀림 의심] ID: kua_10707004_006 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: kua_10707008_003 | s_id: 1 | 비율: 17.15
[의미밀림 의심] ID: kua_10708011_002 | s_id: 2 | 비율: 0.11
[의미밀림 의심] ID: kua_10708019_002 | s_id: 1 | 비율: 26.53
[의미밀림 의심] ID: kua_10709006_003 | s_id: 2 | 비율: 0.17
[의미밀림 의심] ID: kua_10808010_001 | s_id: 2 | 비율: 0.05
[의미밀림 의심] ID: kua_10901022_001 | s_id: 1 | 비율: 15.76
[의미밀림 의심] ID: kua_10902025_002 | s_id: 2 | 비율: 0.10
[의미밀림 의심] ID: kua_10904024_002 | s_id: 1 | 비율: 17.85
[의미밀림 의심] ID: kua_10905020_003 | s_id: 1 | 비율: 20.93
[의미밀림 의심] ID: kua_10906018_004 | s_id: 3 | 비율: 18.20
[의미밀림 의심] ID: kua_10909022_001 | s_id: 1 | 비율: 0.18
[의미밀림 의심] ID: kua_10912006_006 | s_id: 1 | 비율: 34.39
[의미밀림 의심] ID: kua_11001005_013 | s_id: 2 | 비율: 0.14
[의미밀림 의심] ID: kua_11002002_002 | s_id: 2 | 비율: 0.06
[의미밀림 의심] ID: kua_11003020_001 | s_id: 2 | 비율: 0.12
[의미밀림 의심] ID: kua_11008029_003 | s_id: 1 | 비율: 0.14
[의미밀림 의심] ID: kua_11010011_001 | s_id: 1 | 비율: 47.95
[의미밀림 의심] ID: kua_11010015_004 | s_id: 1 | 비율: 38.05
[의미밀림 의심] ID: kua_11011005_004 | s_id: 1 | 비율: 47.38
[의미밀림 의심] ID: kua_11204009_003 | s_id: 1 | 비율: 26.78
[의미밀림 의심] ID: kua_11209015_003 | s_id: 1 | 비율: 17.26
[의미밀림 의심] ID: kua_11302025_003 | s_id: 2 | 비율: 19.54
[의미밀림 의심] ID: kua_11304003_002 | s_id: 1 | 비율: 15.91
[의미밀림 의심] ID: kua_11307015_002 | s_id: 1 | 비율: 16.34
[의미밀림 의심] ID: kua_11307030_002 | s_id: 1 | 비율: 33.12
[의미밀림 의심] ID: kua_11404020_001 | s_id: 1 | 비율: 15.89
[의미밀림 의심] ID: kua_11405002_003 | s_id: 1 | 비율: 17.56
[의미밀림 의심] ID: kua_11405012_002 | s_id: 1 | 비율: 19.75
[의미밀림 의심] ID: kua_11406020_003 | s_id: 1 | 비율: 17.43
[의미밀림 의심] ID: kua_11410015_002 | s_id: 4 | 비율: 15.33
[의미밀림 의심] ID: kua_11411008_001 | s_id: 1 | 비율: 19.26
[의미밀림 의심] ID: kua_11502028_002 | s_id: 1 | 비율: 26.77
[의미밀림 의심] ID: kua_11510010_002 | s_id: 1 | 비율: 27.86
[의미밀림 의심] ID: kua_11512030_001 | s_id: 1 | 비율: 0.17
[의미밀림 의심] ID: kua_11602026_002 | s_id: 2 | 비율: 0.19
[의미밀림 의심] ID: kua_11609025_003 | s_id: 1 | 비율: 36.69
[의미밀림 의심] ID: kua_11611027_003 | s_id: 1 | 비율: 19.17
[의미밀림 의심] ID: kua_11703010_004 | s_id: 2 | 비율: 0.08
[의미밀림 의심] ID: kua_11705023_001 | s_id: 1 | 비율: 17.98
[의미밀림 의심] ID: kua_11712003_002 | s_id: 1 | 비율: 0.16
[의미밀림 의심] ID: kua_11801025_004 | s_id: 1 | 비율: 18.97
[의미밀림 의심] ID: kua_11801025_004 | s_id: 2 | 비율: 0.09
[의미밀림 의심] ID: kua_11901015_001 | s_id: 1 | 비율: 17.81
[의미밀림 의심] ID: kua_11901015_001 | s_id: 2 | 비율: 0.16
[의미밀림 의심] ID: kua_11902015_001 | s_id: 1 | 비율: 37.23
[의미밀림 의심] ID: kua_11903005_003 | s_id: 1 | 비율: 34.51
[의미밀림 의심] ID: kua_11912004_003 | s_id: 1 | 비율: 17.90
[의미밀림 의심] ID: kua_12001012_003 | s_id: 1 | 비율: 20.81
[의미밀림 의심] ID: kua_12008023_001 | s_id: 1 | 비율: 19.00
[의미밀림 의심] ID: kua_12009024_004 | s_id: 1 | 비율: 28.64
[의미밀림 의심] ID: kua_12010011_002 | s_id: 1 | 비율: 25.60
[의미밀림 의심] ID: kua_12010012_001 | s_id: 1 | 비율: 37.21
[의미밀림 의심] ID: kua_12010025_002 | s_id: 1 | 비율: 230.12
[의미밀림 의심] ID: kua_12012025_002 | s_id: 1 | 비율: 16.45
[의미밀림 의심] ID: kua_12106019_001 | s_id: 1 | 비율: 17.10
[의미밀림 의심] ID: kua_12204019_001 | s_id: 1 | 비율: 30.46
[의미밀림 의심] ID: kua_12206001_002 | s_id: 1 | 비율: 22.46
[의미밀림 의심] ID: kua_12206003_002 | s_id: 1 | 비율: 16.74
[의미밀림 의심] ID: kua_12207005_003 | s_id: 1 | 비율: 18.04
[의미밀림 의심] ID: kua_12208002_001 | s_id: 1 | 비율: 62.03
[의미밀림 의심] ID: kua_12312028_003 | s_id: 2 | 비율: 0.16
[의미밀림 의심] ID: kua_12312028_003 | s_id: 4 | 비율: 0.14
[의미밀림 의심] ID: kua_12411005_009 | s_id: 3 | 비율: 0.07
[의미밀림 의심] ID: kua_12411005_009 | s_id: 4 | 비율: 18.90
[의미밀림 의심] ID: kua_12502016_002 | s_id: 2 | 비율: 0.09
[의미밀림 의심] ID: kua_12502017_001 | s_id: 1 | 비율: 0.13
[의미밀림 의심] ID: kua_12507027_003 | s_id: 2 | 비율: 0.14
[의미밀림 의심] ID: kua_12606005_001 | s_id: 1 | 비율: 43.57
